iter	Passed	Remaining
406	6927	10093
407	6930	10056
408	6938	10025
409	6944	9993
410	6972	9991
411	6976	9957
412	6980	9920
413	6983	9885
414	6987	9849
415	6993	9817
416	7015	9807
417	7020	9774
418	7063	9794
419	7076	9771
420	7085	9744
421	7093	9715
422	7097	9681
423	7100	9645
424	7112	9622
425	7116	9589
426	7136	9577
427	7161	9570
428	7167	9540
429	7180	9517
430	7192	9495
431	7197	9464
432	7202	9431
433	7208	9400
434	7263	9433
435	7304	9448
436	7314	9423
437	7322	9395
438	7354	9398
439	7365	9373
440	7372	9344
441	7375	9311
442	7379	9278
443	7383	9245
444	7413	9245
445	7435	9235
446	7448	9214
447	7457	9188
448	7482	9182
449	7490	9154
450	7501	9131
451	7504	9098
452	7507	9065
453	7517	9040
454	7520	9008
455	7532	8985
456	7541	8960
457	7550	8935
458	7559	8910
459	7567	8883
460	7572	8853
461	7575	8822
462	7586	8798
463	7597	8776
464	7608	8753
465	7617	8728
466	7624	8701
467	7674	8724
468	7680	8695
469	7689	8671
470	7712	8662
471	7720	8636
472	7736	8620
473	7761	8612
474	7768	8586
475	7778	8562
476	7782	8532
477	7785	8502
478	7790	8473
479	7824	8476
480	7832	8451
481	7841	8427
482	7856	8409
483	7861	8381
484	7879	8366
485	7897	8352
486	7913	8335
487	7919	8308
488	7924	8280
489	7958	8283
490	7962	8254
491	7967	8226
492	7969	8195
493	7975	8168
494	7977	8138
495	7981	8110
496	7984	8080
497	8005	8069
498	8022	8054
499	8043	8043
500	8065	8033
501	8072	8008
502	8076	7980
503	8079	7951
504	8085	7925
505	8095	7903
506	8111	7887
507	8134	7877
508	8141	7853
509	8144	7825
510	8152	7801
511	8155	7773
512	8158	7745
513	8166	7721
514	8174	7698
515	8182	7675
516	8186	7648
517	8218	7646
518	8224	7622
519	8261	7626
520	8265	7598
521	8274	7577
522	8281	7553
523	8324	7562
524	8329	7536
525	8340	7515
526	8345	7490
527	8353	7467
528	8373	7455
529	8412	7460
530	8422	7439
531	8492	7471
532	8711	7632
533	8735	7622
534	8762	7615
535	8794	7612
536	8811	7597
537	8824	7577
538	8847	7566
539	8850	7539
540	8853	7511
541	8858	7485
542	8865	7461
543	8869	7435
544	8874	7409
545	8920	7417
546	8925	7391
547	8929	7365
548	8936	7341
549	8939	7313
550	8943	7287
551	8956	7268
552	8967	7248
553	8970	7221
554	8974	7195
555	8980	7171
556	8992	7152
557	8999	7128
558	9006	7105
559	9012	7081
560	9019	7058
561	9030	7037
562	9035	7013
563	9043	6990
564	9053	6970
565	9064	6950
566	9076	6931
567	9108	6927
568	9111	6901
569	9119	6879
570	9121	6853
571	9124	6827
572	9149	6818
573	9157	6796
574	9311	6882
575	9344	6878
576	9537	6991
577	9553	6974
578	9584	6969
579	9644	6983
580	9670	6974
581	9700	6967
582	9717	6950
583	9747	6943
584	9901	7024
585	9910	7001
586	9918	6978
587	9926	6955
588	9936	6933
589	10049	6983
590	10340	7155
591	10347	7131
592	10356	7108
593	10420	7122
594	10544	7177
595	10569	7164
596	10668	7201
597	10672	7174
598	10711	7170
599	10727	7151
600	10778	7156
601	10788	7132
602	10915	7186
603	10933	7168
604	10958	7155
605	10972	7134
606	10975	7106
607	11000	7092
608	11032	7083
609	11035	7055
610	11038	7027
